"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
245,14 Feb 2020 06:51:24.635,14 Feb 2020 07:02:04.949,640.314
246,14 Feb 2020 14:48:43.221,14 Feb 2020 14:54:43.880,360.660
247,14 Feb 2020 16:22:46.761,14 Feb 2020 16:34:10.397,683.636
248,14 Feb 2020 18:01:46.292,14 Feb 2020 18:11:23.185,576.893
249,15 Feb 2020 04:19:57.270,15 Feb 2020 04:27:13.586,436.316
250,15 Feb 2020 05:56:15.994,15 Feb 2020 06:07:52.578,696.584
251,15 Feb 2020 07:34:58.101,15 Feb 2020 07:43:25.280,507.180
252,15 Feb 2020 15:29:16.162,15 Feb 2020 15:38:44.727,568.565
253,15 Feb 2020 17:05:35.864,15 Feb 2020 17:17:06.678,690.814
254,15 Feb 2020 18:47:44.204,15 Feb 2020 18:52:24.629,280.425
255,16 Feb 2020 05:01:44.088,16 Feb 2020 05:12:12.852,628.764
256,16 Feb 2020 06:39:19.906,16 Feb 2020 06:50:22.426,662.520
257,16 Feb 2020 08:19:37.474,16 Feb 2020 08:23:07.386,209.912
258,16 Feb 2020 14:37:48.989,16 Feb 2020 14:42:07.905,258.916
259,16 Feb 2020 16:10:58.816,16 Feb 2020 16:22:07.821,669.005
260,16 Feb 2020 17:49:21.008,16 Feb 2020 17:59:38.016,617.007
261,17 Feb 2020 04:08:40.174,17 Feb 2020 04:14:11.399,331.225
262,17 Feb 2020 05:44:18.475,17 Feb 2020 05:55:51.833,693.357
263,17 Feb 2020 07:22:45.472,17 Feb 2020 07:31:59.496,554.025
264,17 Feb 2020 15:17:48.430,17 Feb 2020 15:26:33.172,524.742
265,17 Feb 2020 16:53:33.665,17 Feb 2020 17:05:09.767,696.102
266,17 Feb 2020 18:34:32.321,17 Feb 2020 18:41:16.190,403.869
267,18 Feb 2020 04:49:57.549,18 Feb 2020 04:59:49.849,592.300
268,18 Feb 2020 06:27:16.783,18 Feb 2020 06:38:35.879,679.096
